Raza,Foto,Origen,Descripción,Rasgo 1,Rasgo 2,Rasgo 3,Rasgo 4,Rasgo 5,Rasgo 6,Rasgo 7,Rasgo 8
Abisinio,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0000_Abyssinian.jpg?itok=YY33eNJ5,"País de origen: Abisinia (Etiopía). Otros nombres: Abys. También recuerda al antepasado salvaje africano del gato doméstico. La historia del gato abisinio en el Reino Unido no es muy clara, pero seguramente lo trajo de Abisinia (actual Etiopía) el personal del ejército a su regreso en los 1860. Los primeros abisinios se cruzaron con gatos británicos de pelo corto y, posteriormente, con razas orientales. Durante muchos años han aparecido en las camadas gatitos abisinios de pelo largo, pero a partir de los 1970 se han desarrollado como una raza aparte, denominada somalí.","Los abisinios son gatos elegantes de tamaño mediano con un cuerpo ágil y fuerte, y patas esbeltas. Tienen la cabeza cuneiforme redondeada, con pequeños mechones característicos en las puntas de las orejas y ojos grandes y almendrados. Su pelaje corto y ceñido al cuerpo tiene un aspecto característico, que se debe a la presencia de varias franjas de color en cada pelo. El color más conocido es el cobrizo, pero hay algunos otros.",Gato muy curioso y activo,'Gato sociable y dependiente',Gato algo maullador,Raza de gato de constitución media,Requiere aseo una vez por semana,Raza alergénica,Gato al aire libre,Buen gato familiar
Americano de pelo duro,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/breed_library/cat_american_wirehair.jpg?itok=SejyBh34,"País de origen: Estados Unidos. La raza americana de pelo duro surgió en 1966 con una mutación espontánea en una camada de gatos nacida en una granja de Nueva York, cuando nació Adam, un gatito de pelo duro. Todos los pedigrís de gatos americanos de pelo duro se remontan a Adam. El gato americano de pelo duro es muy popular en Estados Unidos y Canadá, pero no así en el resto del mundo; en el Reino Unido, por ejemplo, no se reconoce como raza de exhibición.","Como su propio nombre indica, lo más característico de esta raza es su pelaje. El gato americano de pelo duro es grande y tiene un pelaje duro, elástico y áspero; cada pelo, de tamaño corto o mediano, es fino y encrespado o rizado. Los bigotes suelen ser rizados. El alcance completo del «rizado» no se manifiesta hasta que el gato es adulto. Puede que haya gatitos con un pelaje muy rizado que luego cambien a un pelo ondulado al crecer, y viceversa. Pueden presentar todo tipo de colores, dibujos y manchas.",Gato tranquilo,'Gato sociable y dependiente',Un gato silencioso,Raza de gato más grande y robusta,Requiere aseo una vez por semana,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Asiático,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/breed_library/cat_asian.jpg?itok=BWqTeK9g,"País de origen: Gran Bretaña. Los gatos asiáticos se parecen a los burmeses, pero su pelaje presenta unos colores que no se ven en la raza burmesa. El bombay pertenece a este grupo, así como el burmilla y el tiffanie. Se trata de una raza joven y en rápido desarrollo, cuya popularidad va en aumento. La raza incluye las subrazas bombay, burmilla y tiffanie, que forman categorías distintas.","Los gatos asiáticos tienen un tamaño mediano a grande, un cuerpo bastante musculoso y una cola que se estrecha y termina en una punta redondeada. Las hembras son mucho más pequeñas y delicadas que los machos. La cabeza es cuneiforme y la parte superior es ligeramente redondeada; las orejas son de tamaño mediano y están bastante separadas, y los ojos son grandes y tienen un contorno plateado. El pelaje, que parece de muaré, es corto, fino y se ciñe al cuerpo. Esta raza presenta una amplia gama de colores y patrones.",Gato muy curioso y activo,'Gato sociable y dependiente',Gato algo maullador,Raza de gato esbelta y elegante,Requiere aseo una vez por semana,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Azul ruso,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0020_Russian_blue.jpg?itok=BXQUKAJd,"País de origen: Rusia. Al azul ruso se le denominó originalmente «gato arcángel» porque se decía que había llegado a Europa a bordo de barcos procedentes del puerto ruso del mismo nombre (Arkhangel’sk). También se le ha conocido como «gato español» y «gato maltés», sobre todo en EE. UU., donde este último nombre perduró hasta principios de siglo. Sin embargo, hay pruebas fehacientes que vinculan a este gato con Rusia. Se han encontrado muchos gatos con colores de pelaje similar en Escandinavia; además, la densidad del manto indica que pertenece a un clima septentrional. Aunque el color típico de esta raza es el azul, también hay gatos negros y blancos. Estos colores surgieron durante la Segunda Guerra Mundial, cuando se cruzaron los pocos ejemplares de azules rusos supervivientes con el azul británico y el siamés para evitar que desapareciera.","El azul ruso es un gato de tamaño mediano a grande, con un cuerpo grácil y elegante y unas patas largas y delgadas. El gato camina como si fuera de puntillas. Tiene la cabeza cuneiforme con mejillas pronunciadas y grandes orejas. Sus intensos ojos verdes tienen una forma almendrada y están bastante separados. El pelaje es doble, con un manto inferior muy denso, y es de corto, fino y suave. La textura del pelaje del gato azul ruso es muy distinta a la de cualquier otra raza y es un rasgo verdaderamente característico. Aunque se le denomine azul ruso, también se pueden encontrar algunos ejemplares negros y blancos. En la variedad azul más conocida, el color del pelaje es un azul claro uniforme con un brillo plateado.",Gato curioso y juguetón,'Gato amigable pero independiente',Un gato silencioso,Raza de gato esbelta y elegante,Requiere aseo una vez por semana,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Balinés,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0001_Balinese.jpg?itok=t43srJl2,"País de origen: Estados Unidos. El balinés es básicamente un siamés de pelo largo. Los balineses empezaron a verse a primeros del siglo XX y, al principio, los criadores regalaban sus gatitos de pelo largo. Tras la Segunda Guerra Mundial, se desarrolló la raza, que recibió originalmente el nombre de «siamés de pelo largo», pero pasó a llamarse «balinés» por la similitud de los gatos con las elegantes bailarinas de los templos del Lejano Oriente. En 1961 se reconoció la raza balinesa en Estados Unidos, pero no se importó a Europa hasta mediados de los setenta.","El gato balinés es un gato bonito y elegante, de tamaño mediano, con las mismas líneas estilizadas y esbeltas del siamés. El cuerpo es grácil y esbelto, la cabeza tiene un perfil recto y tiene grandes orejas, que pueden presentar mechones. Tiene un pelaje sedoso y vaporoso que puede medir de uno a varios centímetros de longitud y cae lacio sobre el cuerpo. La cola es larga y emplumada, con pelo mucho más largo que en el resto del cuerpo. El balinés no tiene un manto inferior lanoso, por lo que se clasifica oficialmente como «de pelo semilargo». Los ojos son de un tono azul brillante y de aire oriental por forma y disposición. El pelaje se caracteriza por mostrar el mismo color en orejas, cara, patas, pies y cola, con un morro como la que tienen los siameses. En EE. UU., los gatos de tipo balinés con manchas adicionales a las que se aceptan para los balineses se conocen como javaneses.",Gato muy curioso y activo,'Gato sociable y dependiente',Gato muy maullador,Raza de gato esbelta y elegante,Requiere aseo una vez por semana,Raza hipoalergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Bengalí,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0002_Bengal.jpg?itok=tqudykZW,"País de origen: EE. UU.. El bengalí es una raza de gato relativamente reciente, creada mediante el cruce de un gato leopardo asiático con un gato doméstico en EE. UU. El bengalí se llama así por el nombre en latín de su ancestro salvaje, el Felis bengalensis (gato leopardo asiático). El objetivo al desarrollar la raza del gato de bengalí doméstico era mantener un físico fuerte que recordase a su hermoso ancestro salvaje y, a la vez, obtener un compañero agradable y de confianza para la familia. En la actualidad, los bengalíes son la quinta raza más popular en el Reino Unido.","El bengalí es un gato grande, elegante y muy musculoso, con una cola espesa que suele llevar baja. El aspecto salvaje del bengalí lo realza su característico pelaje: moteado o marmolado, espeso y suntuoso. Su cabeza ancha tiene orejas pequeñas y mejillas pronunciadas, los ojos tienen un contorno negro y forma almendrada. La cola es gruesa, aunque se estrecha hacia la punta, de color negro. No hay ninguna otra raza felina que muestre el efecto brillo de oro o de perla que se encuentra en algunos bengalíes. Estos, además, pueden ser muy exigentes por sus altos niveles de actividad.",Gato muy curioso y activo,'Gato sociable y dependiente',Gato muy maullador,Raza de gato esbelta y elegante,Requiere aseo una vez por semana,Raza alergénica,Gato al aire libre,Puede requerir familiarización antes de vivir con niños
Birmano,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0003_Birman.jpg?itok=UH9R9Rqf,"País de origen: Birmania/Francia. Otros nombres: Gato sagrado de Birmania. Aunque no hay un registro claro del origen de los birmanos, se dice que se llevó una pareja a Francia en 1919, a partir de la cual se estableció la raza en el mundo occidental. Aun así, los birmanos estuvieron a punto de desaparecer como raza durante la Segunda Guerra Mundial y se cruzaron especialmente con razas de pelo largo (sobre todo, persas) y también con algunas líneas de siameses para reconstruir la raza. A principios de los cincuenta, empezaron a criarse de nuevo camadas de birmanos puras. La raza recuperada fue reconocida en el Reino Unido en 1965.","El birmano es un gato de pelo semilargo de color más oscuro hacia las marcas distales, la cara, las patas, las orejas y la cola, y algo más claro en el resto del cuerpo. Es un gato relativamente grande, con un cuerpo rechoncho y de patas cortas. El birmano tiene los ojos azules y las cuatro zarpas de color blanco puro. Los «calcetines» delanteros cubren solo las falanges, pero los traseros son más largos. La cabeza es ancha y redonda, con orejas de tamaño medio. Los birmanos presentan muchos colores distintos.",Gato curioso y juguetón,'Gato amigable pero independiente',Un gato silencioso,Raza de gato de constitución media,Requiere aseo todos los días,Raza alergénica,Necesita algo de espacio al aire libre,Buen gato familiar
Bobtail japonés de pelo corto,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/breed_library/cat_japanese_bobtail_short_hair.jpg?itok=UVNFBMiC,"País de origen: Japón. El rasgo característico del bobtail japonés es la cola. Cuando el gato está relajado y en posición natural, la cola parece la de un conejo, pero la puede desenroscar hasta unos 10 o 12 cm. En Japón, la existencia de la raza se remonta al siglo VIII, pero no se vio fuera de Japón hasta la década de los sesenta, cuando se importaron a Estados Unidos los bobtails japoneses de pelo corto. El bobtail japonés tiene seguidores en América y actualmente es una raza reconocida y muy presente en las exhibiciones de EE. UU.","El bobtail japonés tiene una forma elegante y una musculatura bien desarrollada. La cabeza está cincelada con delicadeza, tiene unas orejas grandes en posición vertical y unos grandes ojos redondos con una inclinación pronunciada. En posición normal, la cola se extiende entre 5 y 8 cm y, cuando el gato está relajado, este lleva la cola en posición vertical. El pelo de la cola suele ser más grueso y largo que en el resto del pelaje y crece en todas las direcciones, creando así el efecto de un pompón o cola de conejo. Los bobtails pueden ser de pelo corto o largo. El pelaje es suave y sedoso y puede ser de muchos colores. El color preferido en Japón es el tricolor, o carey y blanco (conocido como Mi-ke), una mezcla de negro, rojo y blanco, que simboliza la suerte (esta combinación suele encontrarse solo en las hembras).",Gato curioso y juguetón,'Gato sociable y dependiente',Gato muy maullador,Raza de gato esbelta y elegante,Requiere aseo una vez por semana,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Bobtail japonés de pelo largo,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/breed_library/cat_japanese_bobtail_long_hair.jpg?itok=3LfhHIkd,"País de origen: Japón. El rasgo característico del bobtail japonés es la cola. Cuando el gato está relajado y en posición natural, la cola parece la de un conejo, pero la puede desenroscar hasta unos 10 o 12 cm. En Japón, la existencia de la raza se remonta al siglo VIII, pero no se vio fuera de Japón hasta la década de los sesenta, cuando se importaron a Estados Unidos los bobtails japoneses de pelo corto. El bobtail japonés tiene seguidores en América y actualmente es una raza reconocida y muy presente en las exhibiciones de EE. UU.","El bobtail japonés tiene una forma elegante y una musculatura bien desarrollada. La cabeza está cincelada con delicadeza, tiene unas orejas grandes en posición vertical y unos grandes ojos redondos con una inclinación pronunciada. En posición normal, la cola se extiende entre 5 y 8 cm y, cuando el gato está relajado, este lleva la cola en posición vertical. El pelo de la cola suele ser más grueso y largo que en el resto del pelaje y crece en todas las direcciones, creando así el efecto de un pompón o cola de conejo. El bobtail japonés puede ser de pelo corto o largo. El pelaje es suave y sedoso y puede ser de muchos colores. El color preferido en Japón es el tricolor, o carey y blanco (conocido como Mi-ke), una mezcla de negro, rojo y blanco, que simboliza la suerte (esta combinación suele encontrarse solo en las hembras).",Gato curioso y juguetón,'Gato sociable y dependiente',Gato muy maullador,Raza de gato esbelta y elegante,Requiere aseo todos los días,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Bombay,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/breed_library/cat_bombay.jpg?itok=nXVJdpKt,"País de origen: Gran Bretaña y EE. UU.. El bombay es uno de los gatos del grupo asiático que surgió cuando unos criadores quisieron crear unos gatos de tipo burmés con colores no típicos del burmés. En el Reino Unido, el bombay es la versión negra del asiático.","El bombay es un gato de constitución media y un pelaje negro azabache muy brillante que parece charol. El cráneo es ligeramente redondeado, tiene las orejas redondeadas y un hocico ancho. Sus preciosos ojos de color cobre o dorado están bastante separados y son intensos y expresivos. El cuerpo es firme y musculoso, con un lomo recto y fuerte. La trufa y el contorno del ojo son negros y las almohadillas de las patas son negras o de color marrón oscuro.",Gato curioso y juguetón,'Gato sociable y dependiente',Gato muy maullador,Raza de gato de constitución media,Requiere aseo una vez por semana,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Bosque de Noruega,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0013_Norwegian_forest.jpg?itok=7EQQMuco,"País de origen: Escandinavia. Se cree que esta raza tiene su origen en los gatos de pelo corto traídos por los vikingos desde Gran Bretaña y de los gatos de pelo largo que los Cruzados llevaron a Escandinavia, que posteriormente se aparearon con gatos de granja y silvestres locales. Que se originaran en el norte de Escandinavia ha dado lugar a una raza robusta, resistente y perfectamente adaptada a los inviernos fríos. La mejor adaptación a las condiciones climáticas es el doble manto, que lo protege del viento y de la nieve y se seca rápidamente. La raza fue reconocida por primera vez en Noruega en 1930 y comenzó a presentarse a exhibiciones felinas en 1938. El bosque de Noruega no comenzó a exportarse de Noruega hasta 1970.","El bosque de Noruega es de mayor tamaño que el gato medio. Es una raza elegante con un pelaje semilargo (aunque es un poco más corto en verano). Tiene un cuerpo largo, musculoso y de constitución fuerte, con una estructura ósea sólida. Tiene las patas largas y la cola tupida. La cabeza es larga y triangular con un perfil recto y orejas altas con un mechón en la punta. Un manto superior liso y brillante le cubre el manto inferior lanoso que además es repelente al agua. Un gato con el pelaje completo tiene gorguera, collarín, calzón y hasta mechones de pelo entre los dedos. El bosque de Noruega puede presentar cualquier color excepto chocolate, lila o el patrón siamés. También puede tener cualquier cantidad de marcas blancas en las zarpas, pecho, vientre o cara. Los ojos pueden ser de cualquier color.",Gato muy curioso y activo,'Gato sociable y dependiente',Un gato silencioso,Raza de gato más grande y robusta,Requiere aseo todos los días,Raza alergénica,Gato al aire libre,Puede requerir familiarización antes de vivir con niños
Bosque de Siberia,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/breed_library/cat_siberian_forest.jpg?itok=qnN8ERgr,"País de origen: Rusia. Otros nombres: Gato siberiano. El bosque de Siberia es el gato nacional de Rusia. Esta raza natural existe en Rusia desde hace cientos de años. Hay pruebas documentales que demuestran la existencia de los siberianos nada menos que en el año 1000 y se rumorea que es el antepasado de la mayoría de las razas de pelo largo actuales. Después de haber sobrevivido al gélido clima ruso durante muchas generaciones, la raza ha desarrollado una constitución resistente y un pelaje denso de triple capa resistente al agua. A finales de 1800 se importaron a Gran Bretaña algunos gatos siberianos, pero su popularidad declinó en favor del persa de grueso pelaje.","El bosque de Siberia es un gato bastante grande, de constitución musculosa y torso en forma de barril. Tiene un pelaje largo y denso y la cabeza es, en cierto modo, cuneiforme, aunque presenta contornos redondeados y unos ojos son muy expresivos. La impresión física general es de fortaleza y solidez. Los pelos más largos del triple pelaje son claros cerca de la raíz y se van oscureciendo hacia la punta. Esto le da un cierto brillo al pelaje cuando el gato se mueve. Aunque el color más habitual es el pardo atigrado, un bosque de Siberia puede presentar cualquier patrón, color o combinación de colores, así como un liláceo liso o chocolate liso.",Gato curioso y juguetón,'Gato sociable y dependiente',Gato algo maullador,Raza de gato más grande y robusta,Requiere aseo todos los días,Raza hipoalergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
