Raza,Acerca de,Tamaño,Allergy,País,Categoría de tamaño,Esperanza de vida promedio,Column 1,Column 2,Column 3,Rasgo 1,Rasgo 2,Rasgo 3,Rasgo 4,Rasgo 5,Rasgo 6
Bichón Boloñés,"Estos perros tan entrañables de expresión tan seria son famosos por su inteligencia, su naturaleza observadora y su disposición tranquila. Su cómica personalidad y su naturaleza curiosa los convierten en perros muy queridos por las familias. Ya sea acurrucado en casa o dando vueltas por ahí, el Bichón Boloñés es un perro leal al que nada le gusta más que estar cerca de su familia humana. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XS (<= 4 kg),True,País: Italia,Muy pequeño,12–14 años,Requiere muchos cuidados,Un gran perro para una familia,Jardín no esencial,Leal,Tranquilo,,,,
Bichón Maltés,"El Bichón Maltés es dócil y afable, y es confiado con los desconocidos. Se ha criado durante siglos como animal de compañía y no hay nada que le haga más feliz que sentarse en el regazo de su propietario. A pesar de su nombre, el Bichón Maltés no es de Malta. La palabra ""Malta"" proviene de un término que significa ""refugio"" o ""puerto"" en una de las lenguas mediterráneas, y de ahí precisamente el nombre de la isla. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XS (<= 4 kg),True,País: Italia,Muy pequeño,12–15 años,Jardín no esencial,Requiere muchos cuidados,Necesita poco ejercicio,Alegre,Cariñoso,Tranquilo,Inteligente,,
Crestado Chino,"Los perros Crestado Chino son muy cariñosos y apegados a su familia. Tranquilos y atentos, alternan momentos de tranquilidad y episodios de actividad.  Hay dos tipos diferentes de Perros Crestados Chinos: el tipo ""ciervo"", de huesos finos, y el tipo ""grueso"", de huesos más pesados. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XS (<= 4 kg),True,País: China,Muy pequeño,10–15 años,Adecuado para casas pequeñas,Necesita cuidados moderados,Necesita poco entrenamiento,Alegre,Afable,Seguro,,,
Yorkshire Terrier,"El Yorkshire Terrier tiene un pelaje magnífico que requiere un cuidado continuo. Si bien parece un perro de peluche, en el fondo, no deja de ser un Terrier y conserva su instinto de caza, ya sea con sus juguetes en casa o con un roedor en el jardín. Los Yorkshire Terriers no siempre se llevan bien con los niños, en especial si estos son activos y ruidosos. A veces, el instinto dominante de este Terrier puede representar un desafío para otras mascotas y perros. No obstante, el temperamento de un perro suele ser producto de su entrenamiento y la forma de criarlo, por lo que, si se educa bien, el Yorkshire Terrier puede llegar a ser una gran mascota de la familia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XS (<= 4 kg),True,País: Reino Unido,Muy pequeño,15–16 años,Requiere muchos cuidados,Es posible que no se lleve bien con los niños,Necesita poco ejercicio,Alerta,Inteligente,Alegre,Equilibrado,Afable,
Affenpinscher,"El pelo de los Affenpinscher es un rasgo característico: tiene cejas tupidas y esponjosas, un anillo alrededor de los ojos, una barba imponente, un copete en la parte superior de la cabeza y bigotes laterales. Debe ser lo más duro y desgreñado posible. Estas características son las que le dan a la raza una expresión similar a la de un mono, lo que le da su nombre en alemán: ""affen"" significa simio. El Affenpinscher combina una personalidad cautivadora y pícara con una naturaleza audaz y una gran inteligencia; unas cualidades que hacen de él una excelente mascota familiar. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True,País: Alemania,Pequeño,12–14 años,Un gran perro para una familia,Requiere muchos cuidados,Jardín no esencial,Seguro,Alerta,Leal,Entusiasta,Equilibrado,
Bedlington Terrier,"A pesar de apariencia tranquila y en alerta, los Bedlington terriers pueden correr a gran velocidad. Los Bedlington son perros gráciles y musculosos sin ningún signo de debilidad o tosquedad. Dado su carácter poco exigente, son fáciles de criar y educar, y son populares entre las familias por su naturaleza tranquila y leal. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True,País: Reino Unido,Pequeño,14–16 años,Necesita cuidados moderados,Disfruta del entrenamiento,Un gran perro para una familia,Seguro,Alerta,Afable,Dócil,Independiente,Inteligente
Bichón Frisé,"El Bichón Frisé tiene todas las cualidades físicas y comportamentales que se esperan de un perro de compañía, entre ellas, una gran afectuosidad. Por eso ha logrado una gran popularidad en todo el mundo como perro de compañía. Los Bichón Frisé son perros muy vivaces, juguetones, con ojos expresivos y de carácter alegre. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True,País: Francia,Pequeño,12–15 años,Requiere muchos cuidados,Jardín no esencial,Necesita un entrenamiento moderado,Alegre,Seguro,Tranquilo,Sociable,Adaptable,Cariñoso
Bichón Habanero,"Los Bichones habaneros son perros pequeños y robustos de patas cortas y andar alegre. Tienen un pelaje abundante, suave y largo, que a menudo es ondulado. Estos perros son cariñosos con sus propietarios y les gusta estar a su lado todo el día. Los Bichones habaneros siempre están alerta y avisan a sus propietarios si se acercan extraños; por lo tanto, son excelentes perros guardianes. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True,País: Cuba,Pequeño,12–15 años,Un gran perro guardián,Necesita poco entrenamiento,Necesita cuidados moderados,Inteligente,Alerta,Afable,Juguetón,Cariñoso,
Cairn Terrier,"Los ""cairns"" son montículos de piedras rústicas que se construyeron como monumento o hito en la cima de colinas o en las laderas de Escocia. Los insectos y animales pequeños los utilizan para esconderse y los Cairn Terriers fueron criados para cazarlos.  Los Cairn Terriers son perros activos y robustos. Se afirman sobre las patas delanteras y se mueven con mucha soltura; suelen dar grandes saltos usando las patas traseras para impulsarse con fuerza. Como todos los terriers de trabajo, el pelo de los Cairns es resistente a la intemperie. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True,País: Reino Unido,Pequeño,12–15 años,Necesita cuidados moderados,Requiere mucho entrenamiento,Jardín no esencial,Ágil,Alerta,Alegre,Juguetón,Fuerte,Seguro
Coton De Tuléar,"El pelaje es una de las características principales de esta raza, hasta tal punto que debido a esto recibe su nombre. El pelo de textura algodonada es suave y maleable. Estos perros tienen ojos oscuros y redondos que expresan vivacidad e inteligencia.  El carácter sociable y alegre es una de las características principales de la raza. Estos pequeños y encantadores perros establecen estrechos lazos rápidamente con sus propietarios y se llevan bien con otros perros. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True,País: Madagascar,Pequeño,14–16 años,Requiere muchos cuidados,Un gran perro para una familia,Jardín no esencial,Alegre,Inteligente,Afable,Sociable,Adaptable,
Fox Terrier De Pelo Duro,"De pie, los fox terrier de pelo duro parecen un caballo de caza con el lomo más corto. En movimiento, abarcan mucho terreno. Hasta el auge de las razas terrier mini como perros de compañía, el fox terrier de pelo duro fue, con mucha diferencia, el miembro más popular de la familia durante siglos. Estos perros son afables y sociables con sus compañeros cercanos, pero audaces y obstinados siguiendo un rastro, bien en la superficie o bajo suelo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True,País: Reino Unido,Pequeño,12–14 años,Requiere mucho entrenamiento,Jardín no esencial,Necesita cuidados moderados,Alegre,Alerta,Entusiasta,Afable,Seguro,
Schnauzer Miniatura,"Un schnauzer de pies a cabeza, con el temperamento y comportamiento de un pequeño perro. Su inteligencia, resistencia y afán de protección hacen de los schnauzers miniatura unos excelentes animales de compañía, pacientes con los niños y los otros animales de la casa. Su capacidad de adaptación hace que se adapte fácilmente a una nueva familia y a la vida en un apartamento. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True,País: Alemania,Pequeño,12–15 años,Un gran perro para una familia,Un gran perro guardián,Jardín no esencial,Obstinado,Inteligente,Seguro,Alerta,Equilibrado,
Shih Tzu,"Este perrito inteligente, activo y alegre prospera en compañía del hombre, aunque también le gusta conservar un poco de independencia.  Si se le educa y socializa correctamente desde una edad temprana, el shih tzu es una mascota familiar encantadora y y le encanta jugar con los niños. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True,País: China,Pequeño,11–16 años,Requiere muchos cuidados,Dificultades en clima cálido,Necesita poco ejercicio,Inteligente,Alegre,Alerta,Afable,Independiente,
Terrier Escocés,"Aunque el terrier escocés es reconocible por su perfil característico, su carácter despierto y alegre y su actitud confiada son también distintivas.  El terrier escocés es un perro trabajador con un gran empuje por perseguir sus presas. Este perro de carácter despierto por naturaleza y reservado con los extraños, lo convierte en un perro guardián excelente. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True,País: Reino Unido,Pequeño,11–13 años,Requiere muchos cuidados,Jardín no esencial,Necesita un entrenamiento moderado,Leal,Independiente,Tímido,Inteligente,Seguro,Ágil
West Highland White Terrier,"Los West Highland white terriers, pequeños, fuertes y activos, muestran una gran confianza y tienen una mirada pícara. Estos perros, verdaderos terrier sin duda alguna, son pensadores independientes, pero su lealtad e inteligencia los han hecho muy populares entre las familias. Los West Highland white terriers son pequeños perros de complexión fuerte, que muestran una increíble fortaleza y actividad Son auténticos terriers de trabajo, criados para cazar ratas, y no hay nada que les haga más felices que les encomienden una tarea. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True,País: Escocia,Pequeño,12–14 años,Necesita un entrenamiento moderado,Requiere muchos cuidados,Jardín no esencial,Alegre,Juguetón,Fuerte,Seguro,Alerta,Afable
Airedale Terrier,"Los airedales son perros robustos que están siempre en alerta, no son agresivos y tampoco se asustan fácilmente. Son activos, musculosos, entusiastas y tienen un carácter muy afable.  El airedale terrier es famoso por ser una de las razas de perros más versátiles del mundo y gozan de muy buena fama como cazadores, atletas y compañeros. Suelen utilizarse como perros policía en algunos países. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True,País: Reino Unido,Mediano,10–13 años,Requiere muchos cuidados,Requiere mucho entrenamiento,Requiere espacio exterior,Alegre,Entusiasta,Ágil,Seguro,Afable,Inteligente
Basenji,"Los Basenjis son perros de constitución esbelta y huesos finos, con patas largas, siempre bien equilibrados, alegres e inteligentes. Aunque relativamente independiente y distante con los extraños, el Basenji es muy cariñoso con su familia. Estos perros notablemente limpios son activos y elegantes en sus movimientos, con pasos largos y suaves. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True,País: Congo,Mediano,12–16 años,Necesita mucho ejercicio,Requiere mucho entrenamiento,Requiere cuidados mínimos,Inteligente,Independiente,Cariñoso,Alerta,Tímido,
Bearded Collie,"Los Bearded Collies son perros serenos, están siempre en alerta, y son seguros de sí mismos, alegres y activos. Tienen el carácter de un perro de trabajo inteligente constante y son poco nerviosos. Los Bearded Collies parecen moverse sin esfuerzo, ya que son capaces de recorrer grandes distancias con elegancia y gracia. Su andar confirma que están hechos para su trabajo. Los expertos elogian la calidad del movimiento de este perro pastor, que combina flexibilidad con eficiencia. Como compañeros, son perros dóciles y equilibrados, y se adaptan a casi cualquier hogar. Son conocidos por ser pacientes con los niños y otros miembros de la familia, y conservan su carácter alegre y juguetón hasta una edad avanzada. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True,País: Reino Unido,Mediano,12–15 años,Necesita un propietario con algo de experiencia,Requiere muchos cuidados,Necesita poco entrenamiento,Equilibrado,Ágil,Trabajador,Entusiasta,Alerta,Obediente
Caniche,"Su fama de perro leal, elegante y con capacidad de aprendizaje ayuda a explicar por qué son tan apreciados como perros de compañía en todo el mundo. Los Caniches son compañeros inteligentes, siempre alerta y activos, que muestran muy dignos en cualquier situación.  Caniche en inglés se dice ""Poodle"", que proviene de la palabra alemana ""Pudel"". En alemán, ""puddeln"" es un verbo que significa ""salpicar"". En francés, la raza se llama Caniche, cuya raíz es la palabra ""cane"", que significa ""pata"" (la hembra del pato). Así que, en todos los casos, los Caniches están vinculados con el agua. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True,País: Francia,Mediano,12–15 años,Requiere muchos cuidados,Jardín no esencial,,Afable,Leal,Alerta,Alegre,Equilibrado,
Kerry Blue Terrier,"En un principio, sus antepasados se utilizaban para atacar a las nutrias en aguas profundas, ahuyentar a los tejones y cazar ratas Los Kerry Blue Terriers tienen un cuerpo erguido y bien proporcionado. Desde su aspecto elegante hasta la extraordinaria flexibilidad de sus movimientos, los Kerry Blues son típicos terriers . Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True,País: Irlanda,Mediano,12–15 años,Requiere muchos cuidados,Un gran perro guardián,Necesita poco entrenamiento,Leal,Alerta,Entusiasta,,,
Lagotto Romagnolo,"Como ya no tiene instinto de caza, el olor de posibles piezas no le distrae de su trabajo. Los lagotto romagnolos son perros obedientes, poco exigentes, alerta y cariñosos que crecen muy apegados a su dueño y son fáciles de adiestrar. También son muy buenos perros de compañía, muy adecuados como guardianes. Su pelaje requiere un cuidado especial. La capa superior y especialmente la capa interna son impermeables y debe cortársele el pelo por completo al menos una vez al año. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True,País: Italia,Mediano,15–17 años,Un gran perro guardián,Requiere muchos cuidados,Necesita poco entrenamiento,Trabajador,Independiente,Entusiasta,Cariñoso,Leal,Alerta
Perro De Agua Español,"Estos atletas naturales son excelentes compañeros para pastores, cazadores y pescadores. Los perros de agua españoles son leales, obedientes, alegres y trabajadores. Estos perros sociables prosperan con la interacción con el hombre, convirtiéndolos en grandes incorporaciones a la familia, especialmente debido a su naturaleza cariñosa y su paciencia con los niños. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True,País: España,Mediano,10–14 años,Un gran perro para una familia,Requiere cuidados mínimos,Necesita poco entrenamiento,Leal,Obediente,Afable,Trabajador,Alerta,Equilibrado
Perro De Agua Irlandés,"Los perros de agua irlandeses se adaptan fácilmente a la mayoría de las modalidades de tiro y caza; a menudo colaboran voluntariamente como perros de muestra y en el cobro de piezas, incluso en zonas con cobertura densa. Por su complexión y su naturaleza son los perros elegidos tradicionalmente para la caza de presas acuáticas. Son buenos perros familiares, cariñosos, juguetones y con un claro ""sentido del humor"", a los que les encanta formar parte de cualquier acontecimiento que pase en el hogar. Con todo, a menudo se muestran tímidos con los extraños. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True,País: Irlanda,Mediano,10–12 años,Requiere muchos cuidados,Necesita un entrenamiento moderado,Un gran perro para una familia,Inteligente,Fuerte,Seguro,Entusiasta,Leal,Juguetón
Perro De Agua Portugués,"El Perro de Agua Portugués es un perro robusto e inteligente con pelaje rizado y espeso, y un fuerte deseo de trabajar. Un nadador y buceador extraordinario, el Perro de Agua Portugués es famoso entre los pescadores, no solo en el mar, sino también para proteger sus botes y otras propiedades en tierra firme. A bordo, siguen la acción atentamente y saltan al agua, e incluso bucean a mayor profundidad, para recuperar cualquier pez que logre huir del anzuelo o de la red. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True,País: Portugal,Mediano,10–14 años,Necesita mucho ejercicio,Dócil con los niños,Necesita poco entrenamiento,Inteligente,Obediente,Afable,Cariñoso,Alegre,
Puli,"Los Pulis son perros con un aspecto característico: están cubiertos de un pelaje denso y grueso que les ayuda a soportar las duras condiciones meteorológicas de los inviernos húngaros. Criados para interactuar de cerca con el hombre, los Pulis son perros fieles y sociables que aprenden rápido. Su carácter afable lo convierte en un magnífico perro de familia en hogares con niños y otras mascotas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True,País: Hungría,Mediano,12–16 años,Un gran perro guardián,Necesita cuidados moderados,Disfruta del entrenamiento,Alegre,Afable,Cariñoso,Alerta,,
Samoyedo,"Estos spitz árticos, blancos y de tamaño mediano rebosan potencia, resistencia, encanto, agilidad y seguridad en sí mismos. Los samoyedos nunca se muestran tímidos o especialmente reservados con desconocidos, por lo que no resultan muy adecuados como perros guardianes.  Los samoyedos son perros inteligentes y un tanto traviesos que requieren un propietario con algo de experiencia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True,País: Rusia,Mediano,12–15 años,Necesita cuidados moderados,Disfruta del entrenamiento,Necesita un propietario con algo de experiencia,Equilibrado,Alerta,Afable,Alegre,Seguro,Sociable
Schnauzer,"Las versiones miniatura y gigante se derivan de la variedad estándar de Schnauzer. El hermano mayor, ya sea negro, o de color sal y pimienta, tiene un carácter bueno y dócil.  Los Schnauzers son perros alegres y leales, y muy cariñosos con los niños. Sus sentidos están muy desarrollados y siempre están en alerta, aunque no ladran mucho. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True,País: Alemania,Mediano,13–16 años,Requiere muchos cuidados,Un gran perro guardián,Un gran perro para una familia,Alegre,Cariñoso,Juguetón,Leal,Alerta,Tranquilo
Terrier Irlandés De Pelo Suave,"Enérgicos y juguetones, de buen carácter, muy cariñosos, leales e increíblemente inteligentes, los terriers irlandeses de pelo suave son grandes amigos y maravillosos protectores, pero sin ser en absoluto agresivos. Estos perros pertenecen, probablemente, a la más antigua de las cuatro razas de terrier irlandés. Con ellos, podemos remontarnos al menos dos siglos, basándonos en documentos que mencionan perros ""de pelo suave"". La raza ha ido ganando popularidad poco a poco desde entonces, y ahora se ha extendido por todo el mundo, aunque la población general es bastante baja. Estos perros robustos, activos y de baja estatura tienen buena constitución en la medida en que dan la impresión de tener fuerza. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True,País: Irlanda,Mediano,12–14 años,Un gran perro guardián,Necesita cuidados moderados,Paciente con niños y otros animales,Equilibrado,Cariñoso,Leal,Inteligente,Protector,
Galgo Español,"Se cree que el Galgo Español es uno de los ancestros del greyhound. También existe una variedad de pelo duro con un pelo más rústico que puede variar en longitud y tiende a formar barba y bigote, así como cejas y un mechón en la parte superior de la cabeza. Se trata de perros serios y distantes que gastan mucha energía y muestran una gran vivacidad en la caza. A pesar de esto, en el hogar son perros dóciles y tranquilos que se llevan bien con los niños y otras mascotas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),True,País: Afganistán,Grande,12–18 años,Paciente con niños y otros animales,Necesita ejercicio moderado,Necesita cuidados moderados,Atlético,Independiente,Inteligente,Leal,Juguetón,
Komondor,"Por naturaleza, los perros Komondor son desconfiados con los extraños y sumamente protectores con sus propietarios y su hogar, por lo que son muy preciados como perros guardianes. Debido a su gran tamaño y a su naturaleza de pastor protector, resultan más adecuados para propietarios con experiencia que puedan proporcionar la socialización, el entrenamiento y el ejercicio que necesita. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),True,País: Hungría,Grande,10–12 años,Necesita mucho ejercicio,Necesita mucho espacio,Requiere mucho entrenamiento,Fuerte,Seguro,Protector,Tranquilo,Alerta,
Lebrel Afgano,"La gracia innata y la mirada penetrante del Lebrel Afgano le han generado muchos admiradores en todo el mundo. Originalmente, el Lebrel Afgano se crió como perro de caza en montañas y desiertos, y se caracteriza por una velocidad, una resistencia y una agilidad impresionantes.  Aunque tímido con los extraños, el Lebrel Afgano es cariñoso, leal y juguetón con su familia. Sin embargo, el Lebrel Afgano es relativamente independiente y no responde bien a métodos estrictos de entrenamiento. Es más adecuado para propietarios con experiencia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),True,País: Afganistán,Grande,12–18 años,Requiere muchos cuidados,Necesita un dueño con experiencia,Necesita mucho ejercicio,Atlético,Independiente,Inteligente,Leal,Juguetón,
