Raza,Foto,Acerca de,Especificidades de la raza,Información clave,Tamaño
Airedale terrier,https://cdn.royalcanin-weshare-online.io/rfozHWsBIYfdNSoCiRpm/v1/bd21bl-hub-airedale-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Los airedales son perros robustos que están siempre en alerta, no son agresivos y tampoco se asustan fácilmente. Son activos, musculosos, entusiastas y tienen un carácter muy afable.  El airedale terrier es famoso por ser una de las razas de perros más versátiles del mundo y gozan de muy buena fama como cazadores, atletas y compañeros. Suelen utilizarse como perros policía en algunos países. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Mediano Esperanza de vida promedio: 10–13 años Personalidad: Alegre / Entusiasta / Ágil / Seguro / Afable / Inteligente / Alerta, - Requiere muchos cuidados - Requiere mucho entrenamiento - Requiere espacio exterior,M (11-25 kg)
Alaskan Malamute,https://www.royalcanin.com/es/-/media/dog_cat_illustrations_grey-01.png?rev=af74c8185dca48b89bb905ba394b8eaa&w=320&fm=jpg&auto=compress,"El Alaskan Malamute pertenece a una de las razas de pastoreo árticas más antiguas. Son perros robustos, de complexión fuerte, con un pecho profundo y un cuerpo musculoso. Tienen la cabeza ancha y unas orejas triangulares, que levantan cuando están atentos.  Los Alaskan Malamute son perros de pastoreo que no han sido criados por su velocidad, sino por su fuerza y capacidad de resistencia. Les gusta compartir su afecto con toda la familia, sin mostrar un apego excesivo hacia una persona en particular. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Estados Unidos Categoría de tamaño: Mediano Esperanza de vida promedio: 12–15 años Personalidad: Cariñoso / Afable / Sociable / Leal / Juguetón, - Necesita un dueño con experiencia - Necesita cuidados moderados - Requiere espacio exterior,M (11-25 kg)
American Staffordshire Terrier,https://cdn.royalcanin-weshare-online.io/8iLJxWoBaxEApS7L-RuR/v3/bd126bl-hub-american-staffordshire-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Fuerte, atlético y valiente, el American Staffordshire Terrier es muy obediente y está perfectamente capacitado para ejercicios de agilily. Es un perro muy cariñoso y juguetón al que nada le gusta más que pasar tiempo con su dueño. Esta raza, derivada del antiguo Pit Bull Terrier, se caracteriza por su docilidad y familiaridad, y se lleva igual de bien con otras mascotas que con niños y adultos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Estados Unidos Categoría de tamaño: Mediano Esperanza de vida promedio: 12–14 años Personalidad: Ágil / Entusiasta / Alegre, - Requiere mucho entrenamiento - Un gran perro guardián - Necesita mucho ejercicio físico y mental,M (11-25 kg)
Ariegeois,https://cdn.royalcanin-weshare-online.io/22k9HWsBG95Xk-RBlfiM/v1/bd26bl-hub-ariegeois-adult-standing?w=320&fm=jpg&auto=compress,"Los Ariegeois son perros trabajadores, muy inteligentes y resistentes, lo que los convierte en excelentes perros de caza. Tienen un carácter alegre y sociable, reforzado por una lealtad inquebrantable.  El Ariegeois tiene las características físicas de un perro rastreador y es famoso por sus habilidades y su obediencia, ya sea solo o en manada, y su agilidad en terrenos difíciles. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Mediano Esperanza de vida promedio: 10–12 años Personalidad: Inteligente / Sociable / Fuerte / Obediente, - Disfruta del entrenamiento - Requiere cuidados mínimos - Paciente con niños y otros animales,M (11-25 kg)
Barbet,https://cdn.royalcanin-weshare-online.io/ACLQxWoBaxEApS7LhxxY/v3/bd135bl-hub-barbet-adult-standing?w=320&fm=jpg&auto=compress,"Como todos los perros de agua, el Barbet, que se utiliza para cazar aves silvestres, es más que un simple perro cobrador. Localiza y levanta la presa escondida entre la vegetación acuática y la recupera después del disparo. No le tiene miedo al frío y entra al agua sin importar cómo esté el clima. Su medio favorito es el agua, y le gusta chapotear tanto por trabajo como por placer. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Mediano Esperanza de vida promedio: 13–15 años Personalidad: Sociable / Cariñoso / Fuerte, - Requiere muchos cuidados - Necesita mucho ejercicio - Disfruta del entrenamiento,M (11-25 kg)
Basenji,https://cdn.royalcanin-weshare-online.io/tfo_HWsBIYfdNSoC7xo7/v1/bd28bl-hub-basenji-adult-standing?w=320&fm=jpg&auto=compress,"Los Basenjis son perros de constitución esbelta y huesos finos, con patas largas, siempre bien equilibrados, alegres e inteligentes. Aunque relativamente independiente y distante con los extraños, el Basenji es muy cariñoso con su familia. Estos perros notablemente limpios son activos y elegantes en sus movimientos, con pasos largos y suaves. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Congo Categoría de tamaño: Mediano Esperanza de vida promedio: 12–16 años Personalidad: Inteligente / Independiente / Cariñoso / Alerta / Tímido, - Necesita mucho ejercicio - Requiere mucho entrenamiento - Requiere cuidados mínimos,M (11-25 kg)
Basset artesiano de Normandía,https://cdn.royalcanin-weshare-online.io/ASLQxWoBaxEApS7Lwxzg/v1/bd136bl-hub-basset-artesien-normand-adult-standing?w=320&fm=jpg&auto=compress,"El basset artesiano de Normandía es un perro para caza menor utilizado por cazadores para trabajar solo o en grupo. Sus patas cortas le permiten penetrar en una vegetación muy densa, fuera del alcance de los perros más grandes, para levantar la presa. Le gusta cazar conejos, pero las liebres y el corzo también están dentro de sus capacidades. Rastrea y levanta con gran seguridad, no rápidamente, pero sí de forma ruidosa y metódica. Es alegre por naturaleza y muy cariñoso. Cuando asumió el liderazgo del club de la raza en 1927, Léon Verrier expresó su deseo de reforzar el carácter normando de la raza, en contraste con el sabueso artesiano. El libro de normas publicado tres años más tarde, por lo tanto, declaró que el ""basset artesiano de Normandía debería estar a solo un paso de un tipo normando, sin rastro del artesiano"". Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Mediano Esperanza de vida promedio: 12–15 años Personalidad: Cariñoso / Seguro / Dócil / Leal / Tranquilo / Sociable, - Requiere cuidados mínimos - Paciente con niños y otros animales - La educación deberá comenzar pronto,M (11-25 kg)
Basset azul de Gascuña,https://cdn.royalcanin-weshare-online.io/1Ppb-WYBIYfdNSoC8wlp/v1/dog-illustrations-grey-01?w=320&fm=jpg&auto=compress,"La raza renació a fines del siglo XIX, bajo la instigación de algunos cazadores occidentales. Desde entonces, su evolución ha sido constante tanto en el plan de mejora morfológica necesaria como en la preservación de las cualidades del perro ""desde el sur"" (du midi). Este sabueso rastreador activo, ágil y alegre es un cazador trabajador con un ladrido sonoro que trabaja muy bien en grupo. Es un compañero cariñoso y alegre que necesita jugar enérgicamente. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Mediano Esperanza de vida promedio: 12–14 años Personalidad: Alegre / Cariñoso / Alerta / Afable / Dócil / Inteligente / Leal, - Requiere espacio exterior - Paciente con niños y otros animales - Necesita cuidados moderados,M (11-25 kg)
Beagle,https://cdn.royalcanin-weshare-online.io/xmmpHGsBG95Xk-RB5vhT/v1/bd5bl-hub-beagle-adult-standing?w=320&fm=jpg&auto=compress,"Cuando se socializan y se ejercitan bien, los beagles son buenos con otras mascotas y con niños, combinación que los convierte en una raza popular entre las familias.  Sin embargo, es importante recordar que los beagles se criaron inicialmente como perros de caza y que pueden distraerse fácilmente cuando salen a pasear. Esto convierte a los beagles en una de las razas de perro más difíciles de entrenar. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Mediano Esperanza de vida promedio: 12–15 años Personalidad: Entusiasta / Alegre / Atlético / Afable / Seguro / Fuerte / Obstinado / Alerta / Inteligente / Equilibrado, - Requiere mucho entrenamiento - Necesita mucho ejercicio - Un gran perro para una familia,M (11-25 kg)
Beagle-Harrier,https://cdn.royalcanin-weshare-online.io/BCLSxWoBaxEApS7LKRyN/v1/bd140bl-hub-beagle-herrier-adult-standing?w=320&fm=jpg&auto=compress,"El barón Gérard, que es considerado el padre de la raza, priorizó la resistencia y la tenacidad al seleccionar las características del Beagle-Harrier. Por esta razón, siempre pudieron seguir la batida a caballo en una jauría sin perder el control. Por eso el Beagle-Harrier es fácil de educar y es un perro muy entusiasta. El Beagle-Harrier es el resultado de una combinación elegante entre las dos razas. Estos sabuesos pueden rastrear liebres, zorros, corzos o jabalíes. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Mediano Esperanza de vida promedio: 12–13 años Personalidad: Tranquilo / Leal / Tranquilo / Equilibrado, - Requiere espacio exterior - Un gran perro para una familia - La educación deberá comenzar pronto,M (11-25 kg)
