Raza,Foto,Acerca de,Especificidades de la raza,Información clave,Tamaño
Affenpinscher,https://cdn.royalcanin-weshare-online.io/CyLTxWoBaxEApS7L0xy3/v1/bd121bl-hub-affenpinscher-adult-standing?w=320&fm=jpg&auto=compress,"El pelo de los Affenpinscher es un rasgo característico: tiene cejas tupidas y esponjosas, un anillo alrededor de los ojos, una barba imponente, un copete en la parte superior de la cabeza y bigotes laterales. Debe ser lo más duro y desgreñado posible. Estas características son las que le dan a la raza una expresión similar a la de un mono, lo que le da su nombre en alemán: ""affen"" significa simio. El Affenpinscher combina una personalidad cautivadora y pícara con una naturaleza audaz y una gran inteligencia; unas cualidades que hacen de él una excelente mascota familiar. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–14 años Personalidad: Seguro / Alerta / Leal / Entusiasta / Equilibrado, - Un gran perro para una familia - Requiere muchos cuidados - Jardín no esencial,S (5-10 kg)
Basset leonado de Bretaña,https://cdn.royalcanin-weshare-online.io/AiLQxWoBaxEApS7L7Bxa/v1/bd138bl-hub-basset-fauve-de-bretagne-adult-standing?w=320&fm=jpg&auto=compress,"Además de cazadores apasionados, los miembros de esta raza son excelentes compañeros para los humanos, muy apreciados por su sociabilidad, afecto y equilibrio. Les resulta fácil adaptarse a cualquier presa y terreno. En la caza, son valientes, astutos y obstinados, lo que los hace especialmente eficientes. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Pequeño Esperanza de vida promedio: 11–14 años Personalidad: Fuerte / Alegre / Sociable / Cariñoso / Adaptable / Obstinado, - Requiere espacio exterior - Necesita cuidados moderados,S (5-10 kg)
Bedlington terrier,https://cdn.royalcanin-weshare-online.io/DCLUxWoBaxEApS7LIRwL/v3/bd143bl-hub-bedlington-terrier-adult-standing?w=320&fm=jpg&auto=compress,"A pesar de apariencia tranquila y en alerta, los Bedlington terriers pueden correr a gran velocidad. Los Bedlington son perros gráciles y musculosos sin ningún signo de debilidad o tosquedad. Dado su carácter poco exigente, son fáciles de criar y educar, y son populares entre las familias por su naturaleza tranquila y leal. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Pequeño Esperanza de vida promedio: 14–16 años Personalidad: Seguro / Alerta / Afable / Dócil / Independiente / Inteligente / Leal / Obediente / Equilibrado / Tímido / Fuerte, - Necesita cuidados moderados - Disfruta del entrenamiento - Un gran perro para una familia,S (5-10 kg)
Bichón Frisé,https://cdn.royalcanin-weshare-online.io/4GlFHWsBG95Xk-RB8fhT/v1/bd31bl-hub-bichon-frise-adult-standing?w=320&fm=jpg&auto=compress,"El Bichón Frisé tiene todas las cualidades físicas y comportamentales que se esperan de un perro de compañía, entre ellas, una gran afectuosidad. Por eso ha logrado una gran popularidad en todo el mundo como perro de compañía. Los Bichón Frisé son perros muy vivaces, juguetones, con ojos expresivos y de carácter alegre. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–15 años Personalidad: Alegre / Seguro / Tranquilo / Sociable / Adaptable / Cariñoso / Leal, - Requiere muchos cuidados - Jardín no esencial - Necesita un entrenamiento moderado,S (5-10 kg)
Bichón habanero,https://cdn.royalcanin-weshare-online.io/MyLgHWsBaxEApS7LnR1b/v1/bd72bl-hub-havanese-adult-standing?w=320&fm=jpg&auto=compress,"Los Bichones habaneros son perros pequeños y robustos de patas cortas y andar alegre. Tienen un pelaje abundante, suave y largo, que a menudo es ondulado. Estos perros son cariñosos con sus propietarios y les gusta estar a su lado todo el día. Los Bichones habaneros siempre están alerta y avisan a sus propietarios si se acercan extraños; por lo tanto, son excelentes perros guardianes. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Cuba Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–15 años Personalidad: Inteligente / Alerta / Afable / Juguetón / Cariñoso, - Un gran perro guardián - Necesita poco entrenamiento - Necesita cuidados moderados,S (5-10 kg)
Border terrier,https://cdn.royalcanin-weshare-online.io/6GlPHWsBG95Xk-RBdPjR/v1/bd35bl-hub-border-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Los Border terriers, de complexión fuerte, bien equilibrados y llenos de energía, son perros intrépidos. Esta raza tiene todos los rasgos de comportamiento de un perro de trabajo. Antes de ser reconocidos por The Kennel Club, los Border terriers a menudo tenían que alimentarse por sí mismos y solo aquellos con instinto cazador encontraban suficiente comida. En gran medida, esto explica el carácter de la raza. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–15 años Personalidad: Alegre / Juguetón, - Necesita cuidados moderados - Jardín no esencial - Necesita poco entrenamiento,S (5-10 kg)
Boston terrier,https://cdn.royalcanin-weshare-online.io/62lSHWsBG95Xk-RBcPhv/v1/bd37bl-hub-boston-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Los Boston terriers transmiten una imagen de determinación, fuerza y actividad, y se mueven con libertad y elegancia.  Los Boston terriers son perros atentos, afables y cariñosos a los que se les reconoce fácilmente por su característico pelaje blanco y negro, que recuerda a un ""esmoquin"". Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Estados Unidos Categoría de tamaño: Pequeño Esperanza de vida promedio: 13–15 años Personalidad: Afable / Alegre / Inteligente / Equilibrado, - Necesita cuidados moderados - Jardín no esencial - Necesita poco entrenamiento,S (5-10 kg)
Braco de Auvernia,https://cdn.royalcanin-weshare-online.io/1Ppb-WYBIYfdNSoC8wlp/v1/dog-illustrations-grey-01?w=320&fm=jpg&auto=compress,"Esta raza dócil y muy cariñosa es inteligente y amigable, características que lo convierten en un maravilloso perro de familia. Como perros de muestra, los bracos de Auvernia tienen un olfato muy potente. Sus cualidades naturales deberían desarrollarse y potenciarse durante la periodo de educación. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–15 años Personalidad: Dócil / Cariñoso / Inteligente / Obediente / Fuerte, - Un gran perro para una familia - Paciente con niños y otros animales - Requiere cuidados mínimos,S (5-10 kg)
Bull terrier,https://cdn.royalcanin-weshare-online.io/-mlZHWsBG95Xk-RB9fgV/v5/bd43bl-hub-bull-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Equilibrados y dispuestos para la disciplina, los bull terriers son especialmente buenos con las personas y se asientan bien en el papel de acompañante familiar.  Fuertes, bien equilibrados y activos, los bull terriers tienen una expresión alegre, obstinada e inteligente. En acción, los bull terriers se ven muy resueltos; se mueven con pasos regulares, amplios y gráciles, con una agilidad característica. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Pequeño Esperanza de vida promedio: 11–14 años Personalidad: Alegre / Obstinado / Inteligente / Entusiasta / Juguetón / Equilibrado / Adaptable / Sociable, - Bueno con las personas - Requiere mucho entrenamiento - Jardín no esencial,S (5-10 kg)
Cairn Terrier,https://cdn.royalcanin-weshare-online.io/AGldHWsBG95Xk-RBvfns/v1/bd45bl-hub-cairn-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Los ""cairns"" son montículos de piedras rústicas que se construyeron como monumento o hito en la cima de colinas o en las laderas de Escocia. Los insectos y animales pequeños los utilizan para esconderse y los Cairn Terriers fueron criados para cazarlos.  Los Cairn Terriers son perros activos y robustos. Se afirman sobre las patas delanteras y se mueven con mucha soltura; suelen dar grandes saltos usando las patas traseras para impulsarse con fuerza. Como todos los terriers de trabajo, el pelo de los Cairns es resistente a la intemperie. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–15 años Personalidad: Ágil / Alerta / Alegre / Juguetón / Fuerte / Seguro / Afable / Seguro, - Necesita cuidados moderados - Requiere mucho entrenamiento - Jardín no esencial,S (5-10 kg)
