Raza,Foto,Acerca de,Tamaño,No Alergia,País,Categoría de tamaño,Esperanza de vida promedio,Rasgo 1,Rasgo 2,Rasgo 3,Rasgo 4,Rasgo 5,Rasgo 6,Casa,Experiencia,Sociable,Entrenamiento,Actividades,Cuidados,Ejercicio,Guardia
Bichón Boloñés,https://cdn.royalcanin-weshare-online.io/u_pKHWsBIYfdNSoCOxqf/v1/bd33bl-hub-bolognese-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros tan entrañables de expresión tan seria son famosos por su inteligencia, su naturaleza observadora y su disposición tranquila. Su cómica personalidad y su naturaleza curiosa los convierten en perros muy queridos por las familias. Ya sea acurrucado en casa o dando vueltas por ahí, el Bichón Boloñés es un perro leal al que nada le gusta más que estar cerca de su familia humana. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XS (< 4 kg),True, Italia,Muy pequeño,12–14 años,Leal,Tranquilo,,,,,Jardín no esencial,,Un gran perro para una familia,,,Requiere muchos cuidados,,
Bichón Maltés,https://cdn.royalcanin-weshare-online.io/0mksHWsBG95Xk-RBvfih/v1/bd16bl-hub-maltese-adult-standing?w=320&fm=jpg&auto=compress,"El Bichón Maltés es dócil y afable, y es confiado con los desconocidos. Se ha criado durante siglos como animal de compañía y no hay nada que le haga más feliz que sentarse en el regazo de su propietario. A pesar de su nombre, el Bichón Maltés no es de Malta. La palabra ""Malta"" proviene de un término que significa ""refugio"" o ""puerto"" en una de las lenguas mediterráneas, y de ahí precisamente el nombre de la isla. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XS (< 4 kg),True, Italia,Muy pequeño,12–15 años,Alegre,Cariñoso,Tranquilo,Inteligente,,,Jardín no esencial,,,,,Requiere muchos cuidados,Necesita poco ejercicio,
Chihuahua,https://cdn.royalcanin-weshare-online.io/lPqsHGsBIYfdNSoCrxqw/v1/bd6bl-hub-chihuahua-adult-standing?w=320&fm=jpg&auto=compress,"Hay dos variedades distintas de la raza: el chihuahua de pelo corto y el chihuahua de pelo largo. cada una con su personalidad distintiva. Los chihuahuas pueden ser muy fieles a una persona.  Debido a su tamaño y fragilidad, es importante enseñar a los niños cómo deben manejar estos perros de una forma apropiada. Su carácter puede variar drásticamente y algunos son especialmente difíciles de educar. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XS (< 4 kg),False, México,Muy pequeño,14–18 años,Alerta,Alegre,Seguro,Equilibrado,Afable,,Adecuado para casas pequeñas,,,,,,Necesita poco ejercicio,
Crestado Chino,https://cdn.royalcanin-weshare-online.io/z_p9HWsBIYfdNSoCiBoi/v1/bd50bl-hub-chinese-crested-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los perros Crestado Chino son muy cariñosos y apegados a su familia. Tranquilos y atentos, alternan momentos de tranquilidad y episodios de actividad.  Hay dos tipos diferentes de Perros Crestados Chinos: el tipo ""ciervo"", de huesos finos, y el tipo ""grueso"", de huesos más pesados. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XS (< 4 kg),True, China,Muy pequeño,10–15 años,Alegre,Afable,Seguro,,,,Adecuado para casas pequeñas,,,Necesita poco entrenamiento,,Necesita cuidados moderados,,
Pequeño Perro Ruso,https://cdn.dogsplanet.com/wp-content/uploads/2019/10/petit-chien-russe.jpg.webp,"Salvo el Borzoi, las razas rusas suelen ser perros de trabajo imponentes, por lo que el Pequeño Perro Ruso lo tiene todo para ser un compañero perruno muy popular. Hay una marcada diferencia entre el comportamiento de los machos y el de las hembras, pero no ocurre lo mismo con el aspecto físico. Más allá de esta distinción, ambos son perros de familia cariñosos y se involucran en cualquier actividad que tenga lugar en casa. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XS (< 4 kg),False, Rusia,Muy pequeño,10–12 años,Afable,Leal,Tranquilo,,,,,,,Requiere mucho entrenamiento,,Necesita cuidados moderados,Necesita poco ejercicio,
Petit Brabançon,https://cdn.royalcanin-weshare-online.io/yWnxsmoBG95Xk-RBivYQ/v1/bd264bl-hub-petit-brabancon-adult-standing?w=320&fm=jpg&auto=compress,"Debido a su sensibilidad, estos perros no responden bien a entrenamientos exigentes, y suelen ponerse de mal humor cuando se disgustan. Son excelentes perros de compañía y desarrollan vínculos muy estrechos con sus propietarios. A pesar de su pequeña estatura, necesitan una cantidad moderada de ejercicio diario. Algunos rasgos típicos de los terriers los convierten en perros muy aventureros a los que les gusta explorar sus alrededores. Para esta raza se recomienda disponer de un jardín grande y seguro. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XS (< 4 kg),False, Bélgica,Muy pequeño,12–15 años,Cariñoso,Alerta,Afable,Inteligente,Leal,Tranquilo,,,Un gran perro para una familia,,,Requiere cuidados mínimos,Necesita ejercicio moderado,
Pomerania,https://cdn.royalcanin-weshare-online.io/tSEpa2QBaxEApS7Lf_dz/v2/pomranien-pomeranian?w=320&fm=jpg&auto=compress,"El Pomerania es famoso por su hermoso pelaje recto con una densa capa de subpelo. Resultan llamativos su cuello rodeado de una melena abundante y la cola tupida que lleva orgulloso sobre la espalda completando la silueta. Su cabeza zorruna de ojos alertas y sus orejas pequeñas, puntiagudas y juntas, le dan ese aspecto pícaro característico de los Pomerania.   Los Pomerania son atentos, alegres y extremadamente fieles a su propietario. Aprenden rápido, lo que los hace fáciles de educar. A pesar de su pequeño tamaño, esta raza conserva la inteligencia y la fuerza mental de sus antepasados nórdicos, por lo que es importante marcar los límites correctos desde el principio. El carácter amigable y alegre de los Pomerania los convierte en los compañeros, perros de familia y perros guardianes ideales. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XS (< 4 kg),False, Alemania,Muy pequeño,12–16 años,Alerta,Alegre,Leal,Protector,Afable,Cariñoso,,,Un gran perro para una familia,Requiere mucho entrenamiento,,Necesita cuidados moderados,,
Silky Terrier Australiano,https://cdn.royalcanin-weshare-online.io/KyIwx2oBaxEApS7LbBxr/v1/bd105bl-hub-australian-silky-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Los Silky Terriers son originarios de Sídney, Australia, y están estrechamente relacionados con el Yorkshire Terrier. Su pelaje es fino, liso y brillante, características que se resumen en el nombre a la raza, ya que ""silky"" significa ""sedoso"". A pesar de su tamaño y su aspecto refinado, estos perros muestran todas las características de los terrier y son la representación fiel de la agudeza, la actividad y la solidez. Estos perros pequeños y alegres son excelentes compañeros, gracias a su naturaleza sociable y a su adaptabilidad. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XS (< 4 kg),False, Australia,Muy pequeño,12–15 años,Alegre,Alerta,Afable,Seguro,Entusiasta,Dócil,Adecuado para casas pequeñas,,Un gran perro para una familia,,,Requiere muchos cuidados,,
Spaniel Continental Enano,https://cdn.royalcanin-weshare-online.io/T_qwH2YBIYfdNSoCrgjO/v2/bd171bl-continental-toy-spaniel-adult-lying-down?w=320&fm=jpg&auto=compress,"El spaniel continental enano es un perro pequeño de constitución armoniosa y pelo largo que tiene dos variedades, phalene y papillon. Estos spaniels alegres y graciosos pero robustos se mueven fácilmente, con orgullo y elegancia. El hocico es moderadamente largo aunque más corto que el cráneo. El cuerpo es ligeramente más largo que alto Las orejas son una característica distintiva del spaniel continental enano. En el phalene, están situadas por encima del nivel de los ojos, colgantes pero móviles. En el papillon, las orejas están en una posición elevada, con una aurícula amplia y girada Sea cual sea la variedad, las orejas nunca son puntiagudas como en un spitz. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XS (< 4 kg),False, Francia,Muy pequeño,12–15 años,Alegre,Cariñoso,Seguro,Alerta,Seguro,Afable,Adecuado para casas pequeñas,,Paciente con niños y otros animales,,,Requiere muchos cuidados,,
Spaniel Japonés,https://cdn.royalcanin-weshare-online.io/GCInx2oBaxEApS7Ljxxf/v1/bd79bl-hub-japanese-chin-adult-standing?w=320&fm=jpg&auto=compress,"Los Spaniels Japoneses se hicieron famosos como perros cariñosos y elegantes. Estos perros son cariñosos con sus propietarios, nada les gusta más que su compañía. A pesar de su tamaño pequeño, estos perros son imponentes y bulliciosos, muy enérgicos. Gracias a su inteligencia, a su capacidad de adaptación y a su afecto por las familias humanas, se han convertido en compañeros populares en todo el mundo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XS (< 4 kg),False, Japón,Muy pequeño,10–12 años,Inteligente,Cariñoso,Tímido,,,,Jardín no esencial,,,,,Requiere muchos cuidados,,
